id,headline,source,score_mean,score_std,scores_raw
1,Центробанк повысил ключевую ставку до 21% годовых,РБК,6.0,0.0,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
2,"ВЫ НЕ ПОВЕРИТЕ, что произошло с рублём за одну ночь!",Дзен,10.0,0.0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
3,Исследование: 40% россиян не имеют финансовой подушки безопасности,Ведомости,6.0,0.0,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
4,Этот простой трюк с вкладом удвоит ваши сбережения за год,Дзен,10.0,0.0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
5,Минфин опубликовал проект федерального бюджета на 2026 год,ТАСС,4.0,0.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
6,Шок! Известный экономист предсказал крах доллара к лету,Дзен,10.0,0.0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
7,Уровень безработицы в России снизился до 2.3% в марте 2025,Интерфакс,4.0,0.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
8,Нейросеть заменит бухгалтеров уже через полгода — вот доказательства,Дзен,8.0,0.0,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
9,Объём розничного кредитования вырос на 12% год к году,Коммерсантъ,4.0,0.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
10,"10 акций, которые сделают вас миллионером в 2026 году",Дзен,10.0,0.0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
11,Правительство утвердило план поддержки малого бизнеса,РИА Новости,4.0,0.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
12,Экономисты пересмотрели прогноз роста ВВП с 2.8% до 2.3%,Ведомости,4.0,0.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
13,Почему ВСЕ срочно забирают деньги из этого банка?!,Дзен,10.0,0.0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
14,Средняя зарплата в IT-секторе достигла 185 тысяч рублей,HeadHunter,6.0,0.0,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
15,"Один продукт в вашем холодильнике стоит дороже, чем вы думаете!",Дзен,8.0,0.0,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
16,Набиуллина выступила с докладом о денежно-кредитной политике,РБК,4.0,0.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
17,Индекс потребительских цен в апреле составил 0.5% м/м,Росстат,4.0,0.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
18,Эксперт раскрыл секретную схему пассивного дохода без вложений,Дзен,10.0,0.0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
19,Сбер отчитался о чистой прибыли 1.6 трлн рублей за 2025 год,Коммерсантъ,6.0,0.0,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
20,Срочно! Новый закон ЗАБЕРЁТ ваши накопления — что делать?!,Дзен,10.0,0.0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
