year,month,unemployment,note
2021,1,5.8,
2021,2,5.7,
2021,3,5.4,
2021,4,5.2,
2021,5,4.9,
2021,6,4.8,
2021,7,4.5,
2021,8,4.4,
2021,9,4.3,
2021,10,4.3,
2021,11,4.3,
2021,12,4.3,
2022,1,4.4,
2022,2,4.1,
2022,3,4.1,
2022,4,4.0,
2022,5,3.9,
2022,6,3.9,
2022,7,3.9,
2022,8,3.8,
2022,9,3.9,
2022,10,3.9,
2022,11,3.7,
2022,12,3.7,
2023,1,3.6,
2023,2,3.5,
2023,3,3.5,
2023,4,3.3,
2023,5,3.2,
2023,6,3.1,
2023,7,3.0,
2023,8,3.0,
2023,9,3.0,
2023,10,2.9,
2023,11,2.9,
2023,12,3.0,
2024,1,2.9,
2024,2,2.8,
2024,3,2.7,
2024,4,2.6,
2024,5,2.6,
2024,6,2.4,
2024,7,2.4,
2024,8,2.4,
2024,9,2.5,
2024,10,2.3,
2024,11,2.3,
2024,12,2.3,
2025,1,2.4,
2025,2,2.4,
2025,3,2.3,
2025,4,2.3,
2025,5,2.2,
2025,6,2.2,
2025,7,2.2,
2025,8,2.1,
2025,9,2.2,
2025,10,2.2,
2025,11,2.3,
2025,12,2.3,
2026,1,2.3,
2026,2,2.4,
2026,3,2.4,
2026,4,2.4,
